v(drain) v(gate) v(source) i(vd) i(vg) i(vs) i(vb)
0.3 1.1 0.6 2.021742e-05 -3.11307e-12 -2.02174e-05 1.764621e-13
0.35 1.1 0.6 1.510981e-05 -2.24176e-12 -1.51098e-05 6.978701e-14
0.4 1.1 0.6 1.029613e-05 -1.60316e-12 -1.02961e-05 2.799914e-14
0.45 1.1 0.6 6.040821e-06 -1.13065e-12 -6.04082e-06 1.131195e-14
0.5 1.1 0.6 2.782311e-06 -7.79821e-13 -2.78231e-06 4.699804e-15
0.55 1.1 0.6 8.563431e-07 -5.23137e-13 -8.56343e-07 2.330804e-15
0.6 1.1 0.6 1.690661e-13 -3.39284e-13 1.690661e-13 1.645651e-15
0.65 1.1 0.6 -2.88167e-07 -3.00204e-13 2.881676e-07 1.71702e-15
0.7 1.1 0.6 -3.79488e-07 -2.70894e-13 3.794882e-07 1.874132e-15
0.75 1.1 0.6 -4.49428e-07 -2.4869e-13 4.494279e-07 2.095309e-15
0.8 1.1 0.6 -5.23434e-07 -2.33591e-13 5.234338e-07 2.378689e-15
0.85 1.1 0.6 -6.05601e-07 -2.25597e-13 6.056011e-07 2.732721e-15
0.9 1.1 0.6 -6.97623e-07 -2.1938e-13 6.97623e-07 3.168848e-15
0.95 1.1 0.6 -8.00714e-07 -2.17604e-13 8.007144e-07 3.700306e-15
1.0 1.1 0.6 -9.15947e-07 -2.1938e-13 9.159474e-07 4.341853e-15
1.05 1.1 0.6 -1.04433e-06 -2.20268e-13 1.04433e-06 5.109661e-15
1.1 1.1 0.6 -1.18682e-06 -2.17604e-13 1.186823e-06 6.02122e-15
0.0 1.1 0.65 5.406137e-05 -6.16289e-11 -5.40614e-05 4.79066e-11
0.05 1.1 0.65 4.841384e-05 -3.15428e-11 -4.84138e-05 2.0679e-11
